abierto	abrirás
administrado	administrarás
alentado	alentarás
ampliado	ampliarás
aprobado	aprobarás
añadido	añadirás
bebido	beberás
cerrado	cerrarás
comprado	comprarás
construido	construirás
contenido	contendrás
cumplido	cumplirás
dicho	dirás
definido	definirás
desarrollado	desarrollarás
discutido	discutirás
dormido	dormirás
eliminado	eliminarás
enfrentado	enfrentarás
entendido	entenderás
examinado	examinarás
fomentado	fomentarás
fortalecido	fortalecerás
intentado	intentarás
introducido	introducirás
investigado	investigarás
llegado	llegarás
manejado	manejarás
mejorado	mejorarás
necesitado	necesitarás
operado	operarás
pensado	pensarás
prestado	prestarás
promocionado	promocionarás
protegido	protegerás
publicado	publicarás
requerido	requerirás
resuelto	resolverás
seleccionado	seleccionarás
solicitado	solicitarás
sumado	sumarás
superado	superarás
supervisado	supervisarás
terminado	terminarás
traído	traerás
unido	unirás
usado	usarás
venido	vendrás
visto	verás
verificado	verificarás
