abandonado	abandono
abierto	abro
aceptado	acepto
acordado	acuerdo
alcanzado	alcanzo
anunciado	anuncio
aplicado	aplico
aprendido	aprendo
ayudado	ayudo
cambiado	cambio
corrido	corro
creído	creo
cubierto	cubro
decidido	decido
desarrollado	desarrollo
dirigido	dirijo
discutido	discuto
disfrutado	disfruto
ejercido	ejerzo
esperado	espero
estudiado	estudio
facilitado	facilito
fallado	fallo
firmado	firmo
fortalecido	fortalezco
guardado	guardo
indicado	indico
integrado	integro
involucrado	involucro
jugado	juego
limpiado	limpio
llevado	llevo
observado	observo
pagado,pago	pago
pasado	paso
pensado	pienso
permanecido	permanezco
prevenido	prevengo
quedado	quedo
realizado	realizo
reconocido	reconozco
respondido	respondo
satisfecho	satisfago
sentado	siento
sentido	siento
solicitado	solicito
soportado	soporto
superado	supero
unido	uno
viajado	viajo
