abordado	abordasteis
actuado	actuasteis
aplicado	aplicasteis
añadido	añadisteis
celebrado	celebrasteis
compartido	compartisteis
comprado	comprasteis
conseguido	conseguisteis
conservado	conservasteis
consistido	consististeis
cooperado	cooperasteis
creído	creísteis
decidido	decidisteis
dependido	dependisteis
desarrollado	desarrollasteis
evaluado	evaluasteis
evitado	evitasteis
explicado	explicasteis
expresado	expresasteis
financiado	financiasteis
funcionado	funcionasteis
ganado	ganasteis
hablado	hablasteis
identificado	identificasteis
impuesto	impusisteis
incrementado	incrementasteis
indicado	indicasteis
llorado	llorasteis
medido	medisteis
mirado	mirasteis
mostrado	mostrasteis
observado	observasteis
organizado	organizasteis
parado	parasteis
puesto	pusisteis
promovido	promovisteis
protegido	protegisteis
publicado	publicasteis
quedado	quedasteis
realizado	realizasteis
recibido	recibisteis
resuelto	resolvisteis
roto	rompisteis
sentado	sentasteis
sentido	sentisteis
soportado	soportasteis
superado	superasteis
supervisado	supervisasteis
traído	trajisteis
vendido	vendisteis
