aceleramos	aceleraréis
agradecemos	agradeceréis
apoyamos	apoyaréis
aprovechamos	aprovecharéis
aseguramos	aseguraréis
aumentamos	aumentaréis
bebemos	beberéis
cantamos	cantaréis
comenzamos	comenzaréis
comprendemos	comprenderéis
confiamos	confiaréis
contenemos	contendréis
corremos	correréis
cortamos	cortaréis
cubrimos	cubriréis
cuidamos	cuidaréis
decimos	diréis
dirigimos	dirigiréis
elaboramos	elaboraréis
elegimos	elegiréis
escapamos	escaparéis
existimos	existiréis
generamos	generaréis
hablamos	hablaréis
hacemos	haréis
imponemos	impondréis
indicamos	indicaréis
llevamos	llevaréis
localizamos	localizaréis
observamos	observaréis
olvidamos	olvidaréis
organizamos	organizaréis
oímos	oiréis
parecemos	pareceréis
pasamos	pasaréis
pensamos	pensaréis
permitimos	permitiréis
preguntamos	preguntaréis
proporcionamos	proporcionaréis
protegemos	protegeréis
publicamos	publicaréis
reconocemos	reconoceréis
regresamos	regresaréis
salimos	saldréis
salvamos	salvaréis
sentimos	sentiréis
señalamos	señalaréis
sugerimos	sugeriréis
sumamos	sumaréis
supervisamos	supervisaréis
