abordamos	abordó
accedemos	accedió
aceleramos	aceleró
actuamos	actuó
alcanzamos	alcanzó
anunciamos	anunció
aparecemos	apareció
aprovechamos	aprovechó
aumentamos	aumentó
ayudamos	ayudó
comenzamos	comenzó
contenemos	contuvo
continuamos	continuó
contribuimos	contribuyó
controlamos	controló
coordinamos	coordinó
creamos	creó
cumplimos	cumplió
defendemos	defendió
descubrimos	descubrió
discutimos	discutió
ejecutamos	ejecutó
elegimos	eligió
enfrentamos	enfrentó
estamos	estuvo
examinamos	examinó
fallamos	falló
gestionamos	gestionó
hemos	hubo
hablamos	habló
introducimos	introdujo
jugamos	jugó
localizamos	localizó
luchamos	luchó
miramos	miró
partimos	partió
pasamos	pasó
pensamos	pensó
preparamos	preparó
realizamos	realizó
recibimos	recibió
reconocemos	reconoció
recuperamos	recuperó
respondemos	respondió
rompemos	rompió
sentimos	sintió
somos	fue
soportamos	soportó
venimos	vino
vemos	vio
