accedo	accederán
aprendo	aprenderán
asisto	asistirán
aumento	aumentarán
avanzo	avanzarán
combato	combatirán
comparto	compartirán
contengo	contendrán
coordino	coordinarán
crezco	crecerán
cubro	cubrirán
defiendo	defenderán
destruyo	destruirán
ejecuto	ejecutarán
elaboro	elaborarán
entiendo	entenderán
estoy	estarán
estudio	estudiarán
expreso	expresarán
firmo	firmarán
he	habrán
habilito	habilitarán
impido	impedirán
implico	implicarán
incorporo	incorporarán
instalo	instalarán
voy	irán
limito	limitarán
llamo	llamarán
llevo	llevarán
localizo	localizarán
mido	medirán
olvido	olvidarán
pago	pagarán
pido	pedirán
pierdo	perderán
permanezco	permanecerán
pruebo	probarán
proporciono	proporcionarán
recibo	recibirán
recojo	recogerán
regreso	regresarán
sé	sabrán
soy	serán
termino	terminarán
trabajo	trabajarán
traigo	traerán
uno	unirán
veo	verán
verifico	verificarán
