acepto	aceptarán
aliento	alentarán
apruebo	aprobarán
asisto	asistirán
atiendo	atenderán
atraigo	atraerán
aumento	aumentarán
avanzo	avanzarán
añado	añadirán
caigo	caerán
camino	caminarán
comparto	compartirán
compro	comprarán
compruebo	comprobarán
considero	considerarán
creo	crearán
cumplo	cumplirán
digo	dirán
desempeño	desempeñarán
destaco	destacarán
determino	determinarán
duermo	dormirán
elimino	eliminarán
escucho	escucharán
examino	examinarán
existo	existirán
expreso	expresarán
fomento	fomentarán
formo	formarán
formulo	formularán
implico	implicarán
impongo	impondrán
inicio	iniciarán
miro	mirarán
muevo	moverán
observo	observarán
ocurro	ocurrirán
presto	prestarán
pruebo	probarán
publico	publicarán
quedo	quedarán
recupero	recuperarán
refiero	referirán
requiero	requerirán
señalo	señalarán
sobrevivo	sobrevivirán
sufro	sufrirán
traigo	traerán
trato	tratarán
vuelo	volarán
