abandonan	abandonó
agradecen	agradeció
aplican	aplicó
aseguran	aseguró
aumentan	aumentó
avanzan	avanzó
combaten	combatió
comparten	compartió
concluyen	concluyó
conducen	condujo
conocen	conoció
consultan	consultó
cooperan	cooperó
corren	corrió
crecen	creció
demuestran	demostró
discuten	discutió
duermen	durmió
ejercen	ejerció
encuentran	encontró
estudian	estudió
expresan	expresó
ganan	ganó
generan	generó
hacen	hizo
identifican	identificó
imaginan	imaginó
incorporan	incorporó
intentan	intentó
leen	leyó
llegan	llegó
mencionan	mencionó
ocurren	ocurrió
ofrecen	ofreció
piden	pidió
pueden	pudo
prestan	prestó
prueban	probó
proponen	propuso
reciben	recibió
reconocen	reconoció
reducen	redujo
respetan	respetó
revisan	revisó
son	fue
soportan	soportó
tienen	tuvo
verifican	verificó
vuelan	voló
votan	votó
