abordan	abordó
adquieren	adquirió
agradecen	agradeció
aprueban	aprobó
asisten	asistió
casan	casó
completan	completó
comprenden	comprendió
confían	confió
conocen	conoció
consideran	consideró
construyen	construyó
cooperan	cooperó
cuidan	cuidó
dependen	dependió
desarrollan	desarrolló
descubren	descubrió
discuten	discutió
ejercen	ejerció
encuentran	encontró
escriben	escribió
establecen	estableció
exploran	exploró
expresan	expresó
financian	financió
funcionan	funcionó
imaginan	imaginó
impiden	impidió
incluyen	incluyó
incrementan	incrementó
indican	indicó
integran	integró
llevan	llevó
miden	midió
mueren	murió
operan	operó
pierden	perdió
preguntan	preguntó
reciben	recibió
recuerdan	recordó
refieren	refirió
representan	representó
revisan	revisó
sugieren	sugirió
tocan	tocó
toman	tomó
trabajan	trabajó
viajan	viajó
viven	vivió
vuelven	volvió
