aceptáis	aceptaréis
actuáis	actuaréis
adquirís	adquiriréis
ampliáis	ampliaréis
aprovecháis	aprovecharéis
atendéis	atenderéis
atraéis	atraeréis
aumentáis	aumentaréis
avanzáis	avanzaréis
buscáis	buscaréis
causáis	causaréis
compráis	compraréis
comprobáis	comprobaréis
conocéis	conoceréis
contribuís	contribuiréis
elegís	elegiréis
entendéis	entenderéis
escapáis	escaparéis
esperáis	esperaréis
establecéis	estableceréis
existís	existiréis
expresáis	expresaréis
facilitáis	facilitaréis
falláis	fallaréis
firmáis	firmaréis
formuláis	formularéis
guardáis	guardaréis
habéis	habréis
habilitáis	habilitaréis
imagináis	imaginaréis
impedís	impediréis
instaláis	instalaréis
involucráis	involucraréis
mantenéis	mantendréis
ocurrís	ocurriréis
olvidáis	olvidaréis
paráis	pararéis
participáis	participaréis
pensáis	pensaréis
preserváis	preservaréis
protegéis	protegeréis
recogéis	recogeréis
recordáis	recordaréis
respetáis	respetaréis
revisáis	revisaréis
robáis	robaréis
rompéis	romperéis
satisfacéis	satisfaréis
tratáis	trataréis
voláis	volaréis
