aceptáis	aceptará
alcanzáis	alcanzará
apoyáis	apoyará
aprendéis	aprenderá
caéis	caerá
confiáis	confiará
dais	dará
defendéis	defenderá
desarrolláis	desarrollará
descubrís	descubrirá
discutís	discutirá
disfrutáis	disfrutará
dormís	dormirá
ejecutáis	ejecutará
elimináis	eliminará
empezáis	empezará
encontráis	encontrará
escapáis	escapará
esperáis	esperará
estudiáis	estudiará
evaluáis	evaluará
facilitáis	facilitará
formáis	formará
incorporáis	incorporará
iniciáis	iniciará
instaláis	instalará
integráis	integrará
intentáis	intentará
introducís	introducirá
investigáis	investigará
involucráis	involucrará
vais	irá
leéis	leerá
mencionáis	mencionará
miráis	mirará
movéis	moverá
olvidáis	olvidará
partís	partirá
perdéis	perderá
protegéis	protegerá
quedáis	quedará
reemplazáis	reemplazará
relacionáis	relacionará
sacáis	sacará
satisfacéis	satisfará
seleccionáis	seleccionará
sentáis	sentará
trabajáis	trabajará
viajáis	viajará
voláis	volará
