abordáis	abordaron
adquirís	adquirieron
analizáis	analizaron
aplicáis	aplicaron
aseguráis	aseguraron
aumentáis	aumentaron
averiguáis	averiguaron
cambiáis	cambiaron
cerráis	cerraron
completáis	completaron
cooperáis	cooperaron
cortáis	cortaron
creéis	creyeron
cubrís	cubrieron
decís	dijeron
demostráis	demostraron
descargáis	descargaron
designáis	designaron
detenéis	detuvieron
discutís	discutieron
enseñáis	enseñaron
estáis	estuvieron
evadís	evadieron
evaluáis	evaluaron
examináis	examinaron
explicáis	explicaron
firmáis	firmaron
fomentáis	fomentaron
guardáis	guardaron
habéis	hubieron
iniciáis	iniciaron
lucháis	lucharon
medís	midieron
mostráis	mostraron
ocurrís	ocurrieron
olvidáis	olvidaron
pasáis	pasaron
perdéis	perdieron
preguntáis	preguntaron
preparáis	prepararon
producís	produjeron
proveéis	proveyeron
recuperáis	recuperaron
revisáis	revisaron
sacáis	sacaron
sentáis	sentaron
sobrevivís	sobrevivieron
verificáis	verificaron
visitáis	visitaron
votáis	votaron
