administras/administrás	administrarás
alcanzas/alcanzás	alcanzarás
amplías/ampliás	ampliarás
casas/casás	casarás
celebras/celebrás	celebrarás
comprendes/comprendés	comprenderás
compruebas/comprobás	comprobarás
conduces/conducís	conducirás
conoces/conocés	conocerás
consigues/conseguís	conseguirás
consolidas/consolidás	consolidarás
consultas/consultás	consultarás
cortas/cortás	cortarás
creces/crecés	crecerás
dices/decís	dirás
diriges/dirigís	dirigirás
eliminas/eliminás	eliminarás
entras/entrás	entrarás
escapas/escapás	escaparás
escribes/escribís	escribirás
escuchas/escuchás	escucharás
esperas/esperás	esperarás
evalúas/evaluás	evaluarás
existes/existís	existirás
explicas/explicás	explicarás
exploras/explorás	explorarás
firmas/firmás	firmarás
formas/formás	formarás
funcionas/funcionás	funcionarás
has	habrás
impones/imponés	impondrás
intentas/intentás	intentarás
lloras/llorás	llorarás
observas/observás	observarás
ocurres/ocurrís	ocurrirás
pagas/pagás	pagarás
pides/pedís	pedirás
permites/permitís	permitirás
preservas/preservás	preservarás
proporcionas/proporcionás	proporcionarás
reconoces/reconocés	reconocerás
regresas/regresás	regresarás
sales/salís	saldrás
sirves/servís	servirás
señalas/señalás	señalarás
sufres/sufrís	sufrirás
tocas/tocás	tocarás
tratas/tratás	tratarás
vuelves/volvés	volverás
votas/votás	votarás
