accedes/accedés	acceden
actúas/actuás	actúan
agradeces/agradecés	agradecen
animas/animás	animan
apoyas/apoyás	apoyan
averiguas/averiguás	averiguan
cambias/cambiás	cambian
consigues/conseguís	consiguen
consistes/consistís	consisten
consolidas/consolidás	consolidan
cuentas/contás	cuentan
controlas/controlás	controlan
creces/crecés	crecen
desempeñas/desempeñás	desempeñan
detienes/detenés	detienen
empiezas/empezás	empiezan
enseñas/enseñás	enseñan
envías/enviás	envían
escribes/escribís	escriben
escuchas/escuchás	escuchan
esperas/esperás	esperan
expresas/expresás	expresan
identificas/identificás	identifican
indicas/indicás	indican
inicias/iniciás	inician
integras/integrás	integran
intentas/intentás	intentan
llamas/llamás	llaman
mejoras/mejorás	mejoran
miras/mirás	miran
operas/operás	operan
organizas/organizás	organizan
pides/pedís	piden
pierdes/perdés	pierden
presentas/presentás	presentan
produces/producís	producen
promocionas/promocionás	promocionan
promueves/promovés	promueven
proporcionas/proporcionás	proporcionan
quedas/quedás	quedan
robas/robás	roban
rompes/rompés	rompen
satisfaces/satisfacés	satisfacen
seleccionas/seleccionás	seleccionan
señalas/señalás	señalan
solicitas/solicitás	solicitan
sumas/sumás	suman
terminas/terminás	terminan
tratas/tratás	tratan
vuelas/volás	vuelan
