abandona	abandonarían
aborda	abordarían
accede	accederían
aparece	aparecerían
aplica	aplicarían
apoya	apoyarían
cambia	cambiarían
causa	causarían
conduce	conducirían
confirma	confirmarían
consiste	consistirían
coordina	coordinarían
cuida	cuidarían
cumple	cumplirían
defiende	defenderían
depende	dependerían
destaca	destacarían
determina	determinarían
ejecuta	ejecutarían
escribe	escribirían
escucha	escucharían
está	estarían
evita	evitarían
existe	existirían
falla	fallarían
forma	formarían
gasta	gastarían
imagina	imaginarían
incrementa	incrementarían
involucra	involucrarían
logra	lograrían
mata	matarían
mide	medirían
menciona	mencionarían
parte	partirían
permite	permitirían
previene	prevendrían
queda	quedarían
refiere	referirían
responde	responderían
rompe	romperían
sabe	sabrían
satisface	satisfarían
sirve	servirían
toca	tocarían
trabaja	trabajarían
viene	vendrían
ve	verían
visita	visitarían
vuela	volarían
