aborda	abordó
abre	abrió
accede	accedió
adopta	adoptó
alcanza	alcanzó
aprueba	aprobó
asegura	aseguró
atrae	atrajo
baila	bailó
bebe	bebió
busca	buscó
cambia	cambió
combate	combatió
considera	consideró
construye	construyó
contiene	contuvo
corre	corrió
decide	decidió
defiende	defendió
deja	dejó
descubre	descubrió
discute	discutió
ejecuta	ejecutó
encuentra	encontró
enfrenta	enfrentó
gana	ganó
genera	generó
ha(impersonal:hay)	hubo
impone	impuso
indica	indicó
lleva	llevó
llora	lloró
logra	logró
mide	midió
mejora	mejoró
mueve	movió
ofrece	ofreció
para	paró
promociona	promocionó
recibe	recibió
refiere	refirió
regresa	regresó
requiere	requirió
es	fue
sirve	sirvió
sufre	sufrió
tiene	tuvo
toma	tomó
ve	vio
vuelve	volvió
