abre	abrían
administra	administraban
adopta	adoptaban
aparece	aparecían
averigua	averiguaban
busca	buscaban
celebra	celebraban
concluye	concluían
conduce	conducían
conoce	conocían
consolida	consolidaban
contiene	contenían
cubre	cubrían
cuida	cuidaban
decide	decidían
dirige	dirigían
elige	elegían
elimina	eliminaban
empieza	empezaban
entra	entraban
escapa	escapaban
escucha	escuchaban
espera	esperaban
está	estaban
evita	evitaban
existe	existían
fomenta	fomentaban
gana	ganaban
gasta	gastaban
gestiona	gestionaban
hace	hacían
informa	informaban
involucra	involucraban
llama	llamaban
mantiene	mantenían
mira	miraban
ocurre	ocurrían
pierde	perdían
puede	podían
prepara	preparaban
preserva	preservaban
recibe	recibían
reconoce	reconocían
roba	robaban
siente	sentían
es	eran
señala	señalaban
solicita	solicitaban
trae	traían
ve	veían
