abordan	abordaría
acceden	accedería
actúan	actuaría
administran	administraría
adoptan	adoptaría
alcanzan	alcanzaría
animan	animaría
aseguran	aseguraría
ayudan	ayudaría
compran	compraría
confirman	confirmaría
conservan	conservaría
cooperan	cooperaría
creen	creería
cumplen	cumpliría
deciden	decidiría
dicen	diría
demuestran	demostraría
desarrollan	desarrollaría
eligen	elegiría
formulan	formularía
ganan	ganaría
han	habría
hacen	haría
identifican	identificaría
incorporan	incorporaría
incrementan	incrementaría
informan	informaría
leen	leería
logran	lograría
mantienen	mantendría
miran	miraría
obtienen	obtendría
ofrecen	ofrecería
pagan	pagaría
participan	participaría
pasan	pasaría
presentan	presentaría
proponen	propondría
proporcionan	proporcionaría
reciben	recibiría
recogen	recogería
refuerzan	reforzaría
regresan	regresaría
seleccionan	seleccionaría
sientan	sentaría
señalan	señalaría
terminan	terminaría
tocan	tocaría
unen	uniría
