abordan	abordaríais
adquieren	adquiriríais
animan	animaríais
aprenden	aprenderíais
aprovechan	aprovecharíais
atraen	atraeríais
ayudan	ayudaríais
cantan	cantaríais
causan	causaríais
cierran	cerraríais
completan	completaríais
compran	compraríais
conocen	conoceríais
construyen	construiríais
cuentan	contaríais
crean	crearíais
cubren	cubriríais
desarrollan	desarrollaríais
descargan	descargaríais
dirigen	dirigiríais
disfrutan	disfrutaríais
ejecutan	ejecutaríais
elaboran	elaboraríais
eligen	elegiríais
escriben	escribiríais
establecen	estableceríais
evaden	evadiríais
evalúan	evaluaríais
habilitan	habilitaríais
incrementan	incrementaríais
intentan	intentaríais
investigan	investigaríais
involucran	involucraríais
llaman	llamaríais
mejoran	mejoraríais
mueren	moriríais
muestran	mostraríais
oyen	oiríais
parten	partiríais
piensan	pensaríais
promocionan	promocionaríais
proponen	propondríais
recogen	recogeríais
reconocen	reconoceríais
reemplazan	reemplazaríais
regresan	regresaríais
relacionan	relacionaríais
sientan	sentaríais
suman	sumaríais
tienen	tendríais
