abren	abriréis
acceden	accederéis
adoptan	adoptaréis
beben	beberéis
cambian	cambiaréis
casan	casaréis
cierran	cerraréis
completan	completaréis
comprenden	comprenderéis
comprueban	comprobaréis
confirman	confirmaréis
conocen	conoceréis
conservan	conservaréis
convierten	convertiréis
cubren	cubriréis
dicen	diréis
definen	definiréis
establecen	estableceréis
evitan	evitaréis
existen	existiréis
fallan	fallaréis
fortalecen	fortaleceréis
identifican	identificaréis
indican	indicaréis
inician	iniciaréis
involucran	involucraréis
limpian	limpiaréis
llevan	llevaréis
mueven	moveréis
parecen	pareceréis
permiten	permitiréis
preparan	prepararéis
presentan	presentaréis
previenen	prevendréis
proponen	propondréis
reemplazan	reemplazaréis
refieren	referiréis
refuerzan	reforzaréis
requieren	requeriréis
rompen	romperéis
salvan	salvaréis
sientan	sentaréis
sobreviven	sobreviviréis
suman	sumaréis
trabajan	trabajaréis
tratan	trataréis
usan	usaréis
verifican	verificaréis
visitan	visitaréis
vuelven	volveréis
