abren	abrieron
aceleran	aceleraron
administran	administraron
adoptan	adoptaron
agradecen	agradecieron
aprueban	aprobaron
asisten	asistieron
aumentan	aumentaron
bailan	bailaron
caminan	caminaron
comprenden	comprendieron
conservan	conservaron
cuentan	contaron
cortan	cortaron
crecen	crecieron
creen	creyeron
cubren	cubrieron
demuestran	demostraron
dependen	dependieron
describen	describieron
determinan	determinaron
dirigen	dirigieron
enseñan	enseñaron
entran	entraron
envían	enviaron
escapan	escaparon
expresan	expresaron
funcionan	funcionaron
garantizan	garantizaron
gastan	gastaron
generan	generaron
hacen	hicieron
introducen	introdujeron
juegan	jugaron
matan	mataron
mejoran	mejoraron
oyen	oyeron
pierden	perdieron
quedan	quedaron
reciben	recibieron
recuperan	recuperaron
reemplazan	reemplazaron
refieren	refirieron
regresan	regresaron
resuelven	resolvieron
respetan	respetaron
revisan	revisaron
rompen	rompieron
señalan	señalaron
utilizan	utilizaron
