abandonan	abandonaban
aceleran	aceleraban
adoptan	adoptaban
alientan	alentaban
anuncian	anunciaban
aprenden	aprendían
aprovechan	aprovechaban
atienden	atendían
confirman	confirmaban
consideran	consideraban
consultan	consultaban
crecen	crecían
dependen	dependían
descargan	descargaban
desempeñan	desempeñaban
determinan	determinaban
eligen	elegían
enfrentan	enfrentaban
entienden	entendían
escuchan	escuchaban
establecen	establecían
estudian	estudiaban
explican	explicaban
exploran	exploraban
han	habían
instalan	instalaban
involucran	involucraban
limpian	limpiaban
llegan	llegaban
mantienen	mantenían
mejoran	mejoraban
obtienen	obtenían
olvidan	olvidaban
participan	participaban
parten	partían
piden	pedían
producen	producían
publican	publicaban
realizan	realizaban
recogen	recogían
regresan	regresaban
saben	sabían
sienten	sentían
toman	tomaban
trabajan	trabajaban
traen	traían
venden	vendían
viajan	viajaban
viven	vivían
vuelan	volaban
