acuerda	acordaremos
agradece	agradeceremos
alienta	alentaremos
analiza	analizaremos
ayuda	ayudaremos
baila	bailaremos
canta	cantaremos
casa	casaremos
celebra	celebraremos
comparte	compartiremos
concluye	concluiremos
consolida	consolidaremos
construye	construiremos
consulta	consultaremos
crea	crearemos
destruye	destruiremos
determina	determinaremos
dirige	dirigiremos
discute	discutiremos
ejecuta	ejecutaremos
elimina	eliminaremos
entiende	entenderemos
establece	estableceremos
fomenta	fomentaremos
funciona	funcionaremos
gana	ganaremos
gasta	gastaremos
habla	hablaremos
implica	implicaremos
inicia	iniciaremos
intenta	intentaremos
va	iremos
menciona	mencionaremos
ofrece	ofreceremos
olvida	olvidaremos
permanece	permaneceremos
permite	permitiremos
promociona	promocionaremos
propone	propondremos
recoge	recogeremos
refuerza	reforzaremos
resuelve	resolveremos
roba	robaremos
salva	salvaremos
sirve	serviremos
soporta	soportaremos
suma	sumaremos
tiene	tendremos
trata	trataremos
utiliza	utilizaremos
