accede	accederán
adquiere	adquirirán
agradece	agradecerán
asiste	asistirán
ayuda	ayudarán
combate	combatirán
comienza	comenzarán
conduce	conducirán
convierte	convertirán
cumple	cumplirán
da	darán
decide	decidirán
dice	dirán
depende	dependerán
describe	describirán
detiene	detendrán
determina	determinarán
discute	discutirán
encuentra	encontrarán
entiende	entenderán
escapa	escaparán
evalúa	evaluarán
falla	fallarán
financia	financiarán
formula	formularán
impone	impondrán
indica	indicarán
introduce	introducirán
investiga	investigarán
juega	jugarán
limpia	limpiarán
lleva	llevarán
llora	llorarán
localiza	localizarán
maneja	manejarán
mantiene	mantendrán
mide	medirán
observa	observarán
opera	operarán
participa	participarán
pide	pedirán
promociona	promocionarán
propone	propondrán
recoge	recogerán
reconoce	reconocerán
responde	responderán
saca	sacarán
salva	salvarán
sigue	seguirán
suma	sumarán
