alcanza	alcanzaron
amplía	ampliaron
analiza	analizaron
aprueba	aprobaron
asiste	asistieron
baila	bailaron
cambia	cambiaron
comienza	comenzaron
completa	completaron
comprueba	comprobaron
conduce	condujeron
confirma	confirmaron
construye	construyeron
cuenta	contaron
coopera	cooperaron
corta	cortaron
cuida	cuidaron
defiende	defendieron
describe	describieron
detiene	detuvieron
disfruta	disfrutaron
ejecuta	ejecutaron
empieza	empezaron
encuentra	encontraron
entra	entraron
evade	evadieron
formula	formularon
gana	ganaron
hace	hicieron
incorpora	incorporaron
lleva	llevaron
maneja	manejaron
menciona	mencionaron
opera	operaron
pide	pidieron
pierde	perdieron
pone	pusieron
pregunta	preguntaron
presenta	presentaron
presta	prestaron
protege	protegieron
publica	publicaron
reemplaza	reemplazaron
refiere	refirieron
sale	salieron
satisface	satisficieron
solicita	solicitaron
usa	usaron
viene	vinieron
ve	vieron
