acepta	aceptó
amplía	amplió
aprovecha	aprovechó
aumenta	aumentó
cambia	cambió
causa	causó
comparte	compartió
compra	compró
concluye	concluyó
confirma	confirmó
consolida	consolidó
crea	creó
cumple	cumplió
defiende	defendió
demuestra	demostró
desempeña	desempeñó
destaca	destacó
duerme	durmió
ejecuta	ejecutó
facilita	facilitó
falla	falló
formula	formuló
gana	ganó
identifica	identificó
incorpora	incorporó
incrementa	incrementó
informa	informó
intenta	intentó
involucra	involucró
va	fue
llega	llegó
llora	lloró
necesita	necesitó
observa	observó
ofrece	ofreció
pasa	pasó
presta	prestó
realiza	realizó
recibe	recibió
reemplaza	reemplazó
refiere	refirió
refuerza	reforzó
resuelve	resolvió
roba	robó
rompe	rompió
saca	sacó
sigue	siguió
une	unió
vende	vendió
vive	vivió
