abandonamos	abandonarás
adoptamos	adoptarás
adquirimos	adquirirás
caímos	caerás
cantamos	cantarás
casamos	casarás
cerramos	cerrarás
comprobamos	comprobarás
convertimos	convertirás
cortamos	cortarás
creamos	crearás
defendimos	defenderás
desarrollamos	desarrollarás
elaboramos	elaborarás
escuchamos	escucharás
estudiamos	estudiarás
evaluamos	evaluarás
existimos	existirás
generamos	generarás
hablamos	hablarás
identificamos	identificarás
impedimos	impedirás
iniciamos	iniciarás
jugamos	jugarás
movimos	moverás
ofrecimos	ofrecerás
olvidamos	olvidarás
organizamos	organizarás
oímos	oirás
pagamos	pagarás
pasamos	pasarás
pensamos	pensarás
preparamos	prepararás
preservamos	preservarás
prestamos	prestarás
promocionamos	promocionarás
proveímos	proveerás
reemplazamos	reemplazarás
reforzamos	reforzarás
resolvimos	resolverás
respetamos	respetarás
sacamos	sacarás
sentimos	sentirás
sobrevivimos	sobrevivirás
supervisamos	supervisarás
tocamos	tocarás
trabajamos	trabajarás
unimos	unirás
usamos	usarás
vivimos	vivirás
