adoptaron	adoptaría
analizaron	analizaría
añadieron	añadiría
buscaron	buscaría
causaron	causaría
cerraron	cerraría
comprobaron	comprobaría
continuaron	continuaría
contribuyeron	contribuiría
cuidaron	cuidaría
cumplieron	cumpliría
decidieron	decidiría
definieron	definiría
dejaron	dejaría
desarrollaron	desarrollaría
descubrieron	descubriría
escucharon	escucharía
financiaron	financiaría
garantizaron	garantizaría
generaron	generaría
gestionaron	gestionaría
hablaron	hablaría
imaginaron	imaginaría
incorporaron	incorporaría
indicaron	indicaría
informaron	informaría
integraron	integraría
intentaron	intentaría
llamaron	llamaría
lucharon	lucharía
mencionaron	mencionaría
miraron	miraría
ofrecieron	ofrecería
operaron	operaría
pasaron	pasaría
pidieron	pediría
permitieron	permitiría
pudieron	podría
previnieron	prevendría
reconocieron	reconocería
refirieron	referiría
regresaron	regresaría
sacaron	sacaría
salvaron	salvaría
solicitaron	solicitaría
sugirieron	sugeriría
sumaron	sumaría
tuvieron	tendría
terminaron	terminaría
volaron	volaría
