adoptaron	adoptarían
anunciaron	anunciarían
aprendieron	aprenderían
asistieron	asistirían
atrajeron	atraerían
caminaron	caminarían
comieron	comerían
comprobaron	comprobarían
cooperaron	cooperarían
crecieron	crecerían
creyeron	creerían
cubrieron	cubrirían
demostraron	demostrarían
dependieron	dependerían
desarrollaron	desarrollarían
entraron	entrarían
escucharon	escucharían
estudiaron	estudiarían
evaluaron	evaluarían
explicaron	explicarían
funcionaron	funcionarían
gestionaron	gestionarían
hablaron	hablarían
identificaron	identificarían
imaginaron	imaginarían
incrementaron	incrementarían
indicaron	indicarían
introdujeron	introducirían
jugaron	jugarían
lucharon	lucharían
mantuvieron	mantendrían
modificaron	modificarían
operaron	operarían
pararon	pararían
parecieron	parecerían
pudieron	podrían
prestaron	prestarían
protegieron	protegerían
publicaron	publicarían
quedaron	quedarían
recibieron	recibirían
recordaron	recordarían
regresaron	regresarían
rompieron	romperían
señalaron	señalarían
sufrieron	sufrirían
sugirieron	sugerirían
supervisaron	supervisarían
trabajaron	trabajarían
utilizaron	utilizarían
