abrieron	abrirán
aceptaron	aceptarán
aprendieron	aprenderán
atendieron	atenderán
casaron	casarán
causaron	causarán
contribuyeron	contribuirán
cortaron	cortarán
crearon	crearán
decidieron	decidirán
demostraron	demostrarán
describieron	describirán
descubrieron	descubrirán
designaron	designarán
determinaron	determinarán
esperaron	esperarán
estudiaron	estudiarán
evitaron	evitarán
existieron	existirán
explicaron	explicarán
firmaron	firmarán
impidieron	impedirán
involucraron	involucrarán
fueron	irán
lucharon	lucharán
manejaron	manejarán
modificaron	modificarán
mostraron	mostrarán
movieron	moverán
olvidaron	olvidarán
participaron	participarán
permanecieron	permanecerán
pusieron	pondrán
produjeron	producirán
quedaron	quedarán
recibieron	recibirán
recuperaron	recuperarán
relacionaron	relacionarán
resolvieron	resolverán
siguieron	seguirán
sobrevivieron	sobrevivirán
sumaron	sumarán
supervisaron	supervisarán
tuvieron	tendrán
trabajaron	trabajarán
trataron	tratarán
vinieron	vendrán
viajaron	viajarán
visitaron	visitarán
vivieron	vivirán
