aceleraron	acelerará
actuaron	actuará
adquirieron	adquirirá
alentaron	alentará
comenzaron	comenzará
comieron	comerá
comprendieron	comprenderá
condujeron	conducirá
consolidaron	consolidará
cooperaron	cooperará
crecieron	crecerá
defendieron	defenderá
dejaron	dejará
demostraron	demostrará
dependieron	dependerá
eligieron	elegirá
eliminaron	eliminará
entendieron	entenderá
evitaron	evitará
funcionaron	funcionará
garantizaron	garantizará
identificaron	identificará
impidieron	impedirá
incluyeron	incluirá
instalaron	instalará
integraron	integrará
introdujeron	introducirá
jugaron	jugará
lucharon	luchará
modificaron	modificará
movieron	moverá
observaron	observará
olvidaron	olvidará
pararon	parará
perdieron	perderá
permitieron	permitirá
realizaron	realizará
recibieron	recibirá
recogieron	recogerá
redujeron	reducirá
requirieron	requerirá
supieron	sabrá
seleccionaron	seleccionará
señalaron	señalará
sufrieron	sufrirá
sumaron	sumará
vendieron	venderá
vinieron	vendrá
verificaron	verificará
visitaron	visitará
