abrieron	abrirá
agradecieron	agradecerá
alentaron	alentará
aprovecharon	aprovechará
asumieron	asumirá
averiguaron	averiguará
bebieron	beberá
cambiaron	cambiará
causaron	causará
cerraron	cerrará
compartieron	compartirá
concluyeron	concluirá
construyeron	construirá
contuvieron	contendrá
controlaron	controlará
convirtieron	convertirá
desarrollaron	desarrollará
describieron	describirá
empezaron	empezará
entraron	entrará
evitaron	evitará
facilitaron	facilitará
formaron	formará
fortalecieron	fortalecerá
garantizaron	garantizará
impidieron	impedirá
incorporaron	incorporará
indicaron	indicará
integraron	integrará
introdujeron	introducirá
fueron	irá
limpiaron	limpiará
llevaron	llevará
lloraron	llorará
manejaron	manejará
midieron	medirá
mencionaron	mencionará
organizaron	organizará
oyeron	oirá
parecieron	parecerá
pensaron	pensará
prepararon	preparará
presentaron	presentará
prestaron	prestará
protegieron	protegerá
requirieron	requerirá
siguieron	seguirá
sobrevivieron	sobrevivirá
tuvieron	tendrá
usaron	usará
