abrió	abrirá
actuó	actuará
agradeció	agradecerá
analizó	analizará
asistió	asistirá
asumió	asumirá
atendió	atenderá
avanzó	avanzará
averiguó	averiguará
añadió	añadirá
celebró	celebrará
combatió	combatirá
compartió	compartirá
completó	completará
compró	comprará
confió	confiará
consolidó	consolidará
continuó	continuará
cortó	cortará
defendió	defenderá
descubrió	descubrirá
discutió	discutirá
encontró	encontrará
enfrentó	enfrentará
evaluó	evaluará
evitó	evitará
hubo	habrá
incluyó	incluirá
mencionó	mencionará
modificó	modificará
murió	morirá
ocurrió	ocurrirá
ofreció	ofrecerá
pareció	parecerá
partió	partirá
pasó	pasará
permitió	permitirá
probó	probará
produjo	producirá
publicó	publicará
recogió	recogerá
relacionó	relacionará
siguió	seguirá
fue	será
solicitó	solicitará
superó	superará
usó	usará
vio	verá
viajó	viajará
votó	votará
