accedió	accederías
adquirió	adquirirías
aplicó	aplicarías
asistió	asistirías
aumentó	aumentarías
averiguó	averiguarías
ayudó	ayudarías
bailó	bailarías
combatió	combatirías
condujo	conducirías
conoció	conocerías
consiguió	conseguirías
contribuyó	contribuirías
cortó	cortarías
cuidó	cuidarías
dejó	dejarías
determinó	determinarías
durmió	dormirías
elaboró	elaborarías
empezó	empezarías
explicó	explicarías
falló	fallarías
habilitó	habilitarías
impidió	impedirías
incluyó	incluirías
incrementó	incrementarías
fue	irías
leyó	leerías
limitó	limitarías
llamó	llamarías
necesitó	necesitarías
observó	observarías
ocurrió	ocurrirías
organizó	organizarías
pagó	pagarías
pareció	parecerías
preguntó	preguntarías
produjo	producirías
reconoció	reconocerías
recuperó	recuperarías
refirió	referirías
reforzó	reforzarías
supo	sabrías
sacó	sacarías
salió	saldrías
siguió	seguirías
sintió	sentirías
sufrió	sufrirías
sumó	sumarías
viajó	viajarías
