abandonábamos	abandonaban
abordábamos	abordaban
abríamos	abrían
analizábamos	analizaban
aparecíamos	aparecían
aprendíamos	aprendían
atraíamos	atraían
aumentábamos	aumentaban
ayudábamos	ayudaban
caminábamos	caminaban
causábamos	causaban
comíamos	comían
completábamos	completaban
comprábamos	compraban
concluíamos	concluían
conducíamos	conducían
continuábamos	continuaban
coordinábamos	coordinaban
creíamos	creían
dependíamos	dependían
eliminábamos	eliminaban
empezábamos	empezaban
entendíamos	entendían
enviábamos	enviaban
escribíamos	escribían
evaluábamos	evaluaban
financiábamos	financiaban
formábamos	formaban
funcionábamos	funcionaban
identificábamos	identificaban
impedíamos	impedían
leíamos	leían
llegábamos	llegaban
pedíamos	pedían
permitíamos	permitían
producíamos	producían
promovíamos	promovían
recibíamos	recibían
relacionábamos	relacionaban
revisábamos	revisaban
satisfacíamos	satisfacían
sentábamos	sentaban
sobrevivíamos	sobrevivían
superábamos	superaban
supervisábamos	supervisaban
tocábamos	tocaban
traíamos	traían
uníamos	unían
vendíamos	vendían
verificábamos	verificaban
