abordaban	abordaremos
aseguraban	aseguraremos
añadían	añadiremos
bailaban	bailaremos
completaban	completaremos
comprendían	comprenderemos
consolidaban	consolidaremos
contenían	contendremos
coordinaban	coordinaremos
creaban	crearemos
cuidaban	cuidaremos
daban	daremos
dependían	dependeremos
desempeñaban	desempeñaremos
disfrutaban	disfrutaremos
ejercían	ejerceremos
encontraban	encontraremos
enseñaban	enseñaremos
entendían	entenderemos
establecían	estableceremos
evadían	evadiremos
examinaban	examinaremos
exploraban	exploraremos
expresaban	expresaremos
formaban	formaremos
ganaban	ganaremos
hablaban	hablaremos
hacían	haremos
identificaban	identificaremos
incorporaban	incorporaremos
incrementaban	incrementaremos
introducían	introduciremos
jugaban	jugaremos
limitaban	limitaremos
mataban	mataremos
morían	moriremos
mostraban	mostraremos
olvidaban	olvidaremos
operaban	operaremos
pedían	pediremos
permanecían	permaneceremos
preparaban	prepararemos
presentaban	presentaremos
quedaban	quedaremos
relacionaban	relacionaremos
sacaban	sacaremos
soportaban	soportaremos
sumaban	sumaremos
usaban	usaremos
vivían	viviremos
