administraban	administró
agradecían	agradeció
animaban	animó
aprobaban	aprobó
asistían	asistió
cantaban	cantó
casaban	casó
cerraban	cerró
compartían	compartió
comprobaban	comprobó
conducían	condujo
construían	construyó
contaban	contó
cumplían	cumplió
decidían	decidió
dependían	dependió
desarrollaban	desarrolló
desempeñaban	desempeñó
destacaban	destacó
ejecutaban	ejecutó
elegían	eligió
encontraban	encontró
escapaban	escapó
establecían	estableció
gestionaban	gestionó
habilitaban	habilitó
imaginaban	imaginó
imponían	impuso
integraban	integró
limpiaban	limpió
luchaban	luchó
mataban	mató
medían	midió
mejoraban	mejoró
modificaban	modificó
obtenían	obtuvo
pagaban	pagó
permanecían	permaneció
permitían	permitió
prevenían	previno
promocionaban	promocionó
proveían	proveyó
publicaban	publicó
reducían	redujo
revisaban	revisó
robaban	robó
soportaban	soportó
traían	trajo
verificaban	verificó
volaban	voló
