abordabais	abordaría
acelerabais	aceleraría
aceptabais	aceptaría
actuabais	actuaría
administrabais	administraría
adquiríais	adquiriría
alentabais	alentaría
analizabais	analizaría
aprovechabais	aprovecharía
asegurabais	aseguraría
aumentabais	aumentaría
añadíais	añadiría
construíais	construiría
consultabais	consultaría
contabais	contaría
conteníais	contendría
coordinabais	coordinaría
creabais	crearía
dabais	daría
definíais	definiría
describíais	describiría
destacabais	destacaría
entrabais	entraría
implicabais	implicaría
incrementabais	incrementaría
indicabais	indicaría
introducíais	introduciría
invertíais	invertiría
limpiabais	limpiaría
llevabais	llevaría
manteníais	mantendría
matabais	mataría
medíais	mediría
moríais	moriría
ofrecíais	ofrecería
olvidabais	olvidaría
operabais	operaría
partíais	partiría
podíais	podría
preparabais	prepararía
producíais	produciría
protegíais	protegería
reducíais	reduciría
reemplazabais	reemplazaría
relacionabais	relacionaría
seguíais	seguiría
seleccionabais	seleccionaría
tocabais	tocaría
vendíais	vendería
veníais	vendría
