ampliabas	ampliará
analizabas	analizará
animabas	animará
aparecías	aparecerá
aprobabas	aprobará
asistías	asistirá
atendías	atenderá
aumentabas	aumentará
avanzabas	avanzará
bailabas	bailará
celebrabas	celebrará
conducías	conducirá
continuabas	continuará
coordinabas	coordinará
creías	creerá
dabas	dará
decías	dirá
definías	definirá
detenías	detendrá
dirigías	dirigirá
ejecutabas	ejecutará
escribías	escribirá
establecías	establecerá
examinabas	examinará
expresabas	expresará
fortalecías	fortalecerá
funcionabas	funcionará
gestionabas	gestionará
habilitabas	habilitará
imponías	impondrá
incluías	incluirá
informabas	informará
instalabas	instalará
leías	leerá
pedías	pedirá
permitías	permitirá
preguntabas	preguntará
producías	producirá
proveías	proveerá
reducías	reducirá
reemplazabas	reemplazará
representabas	representará
requerías	requerirá
seleccionabas	seleccionará
servías	servirá
soportabas	soportará
terminabas	terminará
tomabas	tomará
vendías	venderá
volvías	volverá
