abandonaba	abandonarás
abría	abrirás
adquiría	adquirirás
analizaba	analizarás
animaba	animarás
asumía	asumirás
bailaba	bailarás
bebía	beberás
compartía	compartirás
compraba	comprarás
comprendía	comprenderás
consultaba	consultarás
contaba	contarás
crecía	crecerás
cuidaba	cuidarás
cumplía	cumplirás
decidía	decidirás
definía	definirás
detenía	detendrás
ejercía	ejercerás
elegía	elegirás
entraba	entrarás
enviaba	enviarás
examinaba	examinarás
explicaba	explicarás
funcionaba	funcionarás
imponía	impondrás
llegaba	llegarás
localizaba	localizarás
lograba	lograrás
luchaba	lucharás
observaba	observarás
ocurría	ocurrirás
operaba	operarás
oía	oirás
paraba	pararás
parecía	parecerás
preparaba	prepararás
quedaba	quedarás
recibía	recibirás
recordaba	recordarás
reforzaba	reforzarás
sabía	sabrás
seguía	seguirás
sentaba	sentarás
soportaba	soportarás
sufría	sufrirás
unía	unirás
viajaba	viajarás
vivía	vivirás
