administraban	administrarían
adquirían	adquirirían
aprovechaban	aprovecharían
ayudaban	ayudarían
compartían	compartirían
concluían	concluirían
conducían	conducirían
confiaban	confiarían
confirmaban	confirmarían
convertían	convertirían
coordinaban	coordinarían
corrían	correrían
cortaban	cortarían
crecían	crecerían
decidían	decidirían
decían	dirían
dependían	dependerían
descargaban	descargarían
describían	describirían
destacaban	destacarían
disfrutaban	disfrutarían
elaboraban	elaborarían
eliminaban	eliminarían
encontraban	encontrarían
escribían	escribirían
estudiaban	estudiarían
exploraban	explorarían
expresaban	expresarían
gestionaban	gestionarían
integraban	integrarían
introducían	introducirían
leían	leerían
llegaban	llegarían
miraban	mirarían
organizaban	organizarían
paraban	pararían
partían	partirían
pasaban	pasarían
permanecían	permanecerían
preservaban	preservarían
proveían	proveerían
recibían	recibirían
rompían	romperían
sacaban	sacarían
satisfacían	satisfarían
seleccionaban	seleccionarían
eran	serían
usaban	usarían
verificaban	verificarían
volvían	volverían
