adoptaban	adoptaste
alcanzaban	alcanzaste
aprobaban	aprobaste
aumentaban	aumentaste
ayudaban	ayudaste
bailaban	bailaste
bebían	bebiste
buscaban	buscaste
caminaban	caminaste
cantaban	cantaste
combatían	combatiste
comían	comiste
concluían	concluiste
conducían	condujiste
contenían	contuviste
corrían	corriste
creían	creíste
daban	diste
desempeñaban	desempeñaste
elaboraban	elaboraste
encontraban	encontraste
enfrentaban	enfrentaste
evaluaban	evaluaste
formulaban	formulaste
funcionaban	funcionaste
ganaban	ganaste
hacían	hiciste
identificaban	identificaste
incrementaban	incrementaste
indicaban	indicaste
iniciaban	iniciaste
mataban	mataste
morían	moriste
necesitaban	necesitaste
ofrecían	ofreciste
olvidaban	olvidaste
operaban	operaste
paraban	paraste
pedían	pediste
presentaban	presentaste
prestaban	prestaste
promocionaban	promocionaste
protegían	protegiste
reducían	redujiste
respondían	respondiste
soportaban	soportaste
supervisaban	supervisaste
tocaban	tocaste
tomaban	tomaste
volaban	volaste
