accedía	accedisteis
agradecía	agradecisteis
aparecía	aparecisteis
aprobaba	aprobasteis
asistía	asististeis
atraía	atrajisteis
aumentaba	aumentasteis
buscaba	buscasteis
caminaba	caminasteis
casaba	casasteis
comía	comisteis
conducía	condujisteis
construía	construisteis
defendía	defendisteis
definía	definisteis
dependía	dependisteis
desempeñaba	desempeñasteis
destacaba	destacasteis
discutía	discutisteis
elegía	elegisteis
eliminaba	eliminasteis
encontraba	encontrasteis
entraba	entrasteis
enviaba	enviasteis
evitaba	evitasteis
financiaba	financiasteis
fortalecía	fortalecisteis
gestionaba	gestionasteis
incorporaba	incorporasteis
mencionaba	mencionasteis
movía	movisteis
obtenía	obtuvisteis
partía	partisteis
ponía	pusisteis
preparaba	preparasteis
proporcionaba	proporcionasteis
protegía	protegisteis
quedaba	quedasteis
recordaba	recordasteis
refería	referisteis
respondía	respondisteis
salía	salisteis
servía	servisteis
solicitaba	solicitasteis
soportaba	soportasteis
superaba	superasteis
vendía	vendisteis
venía	vinisteis
viajaba	viajasteis
volaba	volasteis
