abreviar	abreviación
acuñar	acuñación
afiliar	afiliación
aproximar	aproximación
autorizar	autorización
calibrar	calibración
codificar	codificación
compactar	compactación
culturizar	culturización
depreciar	depreciación
derogar	derogación
desaparecer	desaparición
desarticular	desarticulación
descongelar	descongelación
desgravar	desgravación
deshumanizar	deshumanización
desvincular	desvinculación
detonar	detonación
digitalizar	digitalización
enajenar	enajenación
escolarizar	escolarización
evacuar	evacuación
evaluar	evaluación
humectar	humectación
imantar	imantación
impregnar	impregnación
incapacitar	incapacitación
moralizar	moralización
neutralizar	neutralización
oxidar	oxidación
peregrinar	peregrinación
personalizar	personalización
preconizar	preconización
predeterminar	predeterminación
predominar	predominación
programa	programación
ratificar	ratificación
recompensa	recompensación
repudiar	repudiación
retardar	retardación
revelar	revelación
rotular	rotulación
saponificar	saponificación
secuencia	secuenciación
suavizar	suavización
sufijo	sufijación
sustantivar	sustantivación
tramitar	tramitación
unificar	unificación
valorizar	valorización
