abeja	abejita
abuela	abuelita
agua	agüita
ahora	horita
amiga	amiguita
arca	arquita
ayuda	ayudita
azur	azurita
bandera	banderita
bolsa	bolsita
botella	botellita
calesa	calesita
cama	camita
canción	cancioncita
cara	carita
casa	casita
cera	cerita
cola	colita
columna	columnita
copa	copita
criatura	criaturita
escoba	escobita
figura	figurita
gato	gatita
gorra	gorrita
hallaca	hallaquita
leche	lechita
luz	lucecita
mamada	mamaíta
marca	marquita
masa	masita
muñeca	muñequita
música	musiquita
palabra	palabrita
paloma	palomita
panza	pancita
pastilla	pastillita
pata	patita
piedra	piedrita
plata	platita
plaza	placita
problema	problemita
puerta	puertita
ratona	ratoncita
rosa	rosita
silla	sillita
sopa	sopita
taza	tacita
uña	uñita
vuelta	vueltita
