actor	actriz
autor	autora
cerdo	cerda
niño	niña
hermano	hermana
pato	pata
toro	vaca
empresario	empresaria
presidente	presidenta
papá	mamá
padre	madre
duque	duquesa
emperador	emperatriz
gato	gata
pescador	pescadora
zorro	zorra
locutor	locutora
dios	diosa
abuelo	abuela
dramaturgo	dramaturga
nieto	nieta
novio	novia
director	directora
heredero	heredera
héroe	heroína
perro	perra
esposo	esposa
rey	reina
león	leona
hombre	mujer
primo	prima
señor	señora
asesino	asesina
sobrino	sobrina
poeta	poetisa
gobernador	gobernadora
príncipe	princesa
carnero	oveja
gallo	gallina
escultor	escultora
dueño	dueña
hijo	hija
caballo	yegua
padrastro	madrastra
soberano	soberana
tigre	tigresa
tío	tía
hijastro	hijastra
camarero	camarera
yerno	nuera
