adquiero	adquiriré
animo	animaré
anuncio	anunciaré
apoyo	apoyaré
aumento	aumentaré
comienzo	comenzaré
comparto	compartiré
conduzco	conduciré
considero	consideraré
coordino	coordinaré
corto	cortaré
cumplo	cumpliré
describo	describiré
detengo	detendré
elijo	elegiré
envío	enviaré
evado	evadiré
evalúo	evaluaré
expreso	expresaré
fomento	fomentaré
genero	generaré
habilito	habilitaré
identifico	identificaré
incluyo	incluiré
introduzco	introduciré
llego	llegaré
lloro	lloraré
manejo	manejaré
mido	mediré
muero	moriré
necesito	necesitaré
olvido	olvidaré
presento	presentaré
preservo	preservaré
quedo	quedaré
recupero	recuperaré
refiero	referiré
requiero	requeriré
resuelvo	resolveré
respondo	responderé
robo	robaré
salvo	salvaré
sirvo	serviré
sobrevivo	sobreviviré
superviso	supervisaré
tengo	tendré
trato	trataré
utilizo	utilizaré
vengo	vendré
voto	votaré
