acuerdo	acuerda
aprendo	aprende
aprovecho	aprovecha
caigo	cae
caso	casa
conduzco	conduce
consigo	consigue
conservo	conserva
controlo	controla
creo	crea
cubro	cubre
dejo	deja
dependo	depende
destaco	destaca
disfruto	disfruta
ejecuto	ejecuta
entiendo	entiende
estudio	estudia
evado	evade
exploro	explora
financio	financia
firmo	firma
fomento	fomenta
formulo	formula
funciono	funciona
gano	gana
guardo	guarda
implico	implica
incluyo	incluye
informo	informa
integro	integra
introduzco	introduce
invierto	invierte
limpio	limpia
mantengo	mantiene
mato	mata
miro	mira
organizo	organiza
pregunto	pregunta
proporciono	proporciona
requiero	requiere
reviso	revisa
salvo	salva
satisfago	satisface
soy	es
sobrevivo	sobrevive
soporto	soporta
sufro	sufre
supero	supera
vengo	viene
