abandonaría	abandonarían
administraría	administrarían
adoptaría	adoptarían
agradecería	agradecerían
animaría	animarían
aseguraría	asegurarían
avanzaría	avanzarían
ayudaría	ayudarían
añadiría	añadirían
buscaría	buscarían
causaría	causarían
compraría	comprarían
comprobaría	comprobarían
consistiría	consistirían
consultaría	consultarían
cortaría	cortarían
daría	darían
definiría	definirían
dejaría	dejarían
designaría	designarían
ejecutaría	ejecutarían
elaboraría	elaborarían
encontraría	encontrarían
enfrentaría	enfrentarían
esperaría	esperarían
establecería	establecerían
evaluaría	evaluarían
expresaría	expresarían
ganaría	ganarían
gestionaría	gestionarían
impediría	impedirían
iniciaría	iniciarían
investigaría	investigarían
iría	irían
leería	leerían
llegaría	llegarían
modificaría	modificarían
permitiría	permitirían
preguntaría	preguntarían
produciría	producirían
promocionaría	promocionarían
promovería	promoverían
recibiría	recibirían
reforzaría	reforzarían
relacionaría	relacionarían
salvaría	salvarían
sería	serían
serviría	servirían
sobreviviría	sobrevivirían
vería	verían
