abandonaría	abandonaríais
abordaría	abordaríais
administraría	administraríais
aparecería	apareceríais
aplicaría	aplicaríais
apoyaría	apoyaríais
aseguraría	aseguraríais
asistiría	asistiríais
atendería	atenderíais
consolidaría	consolidaríais
cumpliría	cumpliríais
daría	daríais
diría	diríais
definiría	definiríais
desarrollaría	desarrollaríais
designaría	designaríais
dirigiría	dirigiríais
elegiría	elegiríais
entraría	entraríais
evadiría	evadiríais
evitaría	evitaríais
formularía	formularíais
fortalecería	fortaleceríais
ganaría	ganaríais
habría	habríais
habilitaría	habilitaríais
impondría	impondríais
indicaría	indicaríais
intentaría	intentaríais
introduciría	introduciríais
llevaría	llevaríais
manejaría	manejaríais
mantendría	mantendríais
modificaría	modificaríais
olvidaría	olvidaríais
pagaría	pagaríais
pararía	pararíais
prevendría	prevendríais
promovería	promoveríais
recogería	recogeríais
relacionaría	relacionaríais
respondería	responderíais
rompería	romperíais
sabría	sabríais
señalaría	señalaríais
trataría	trataríais
vendería	venderíais
verificaría	verificaríais
viajaría	viajaríais
viviría	viviríais
