accederemos	accederían
aceptaremos	aceptarían
acordaremos	acordarían
agradeceremos	agradecerían
aprobaremos	aprobarían
aprovecharemos	aprovecharían
asumiremos	asumirían
avanzaremos	avanzarían
ayudaremos	ayudarían
cambiaremos	cambiarían
combatiremos	combatirían
comenzaremos	comenzarían
cortaremos	cortarían
creceremos	crecerían
diremos	dirían
descargaremos	descargarían
descubriremos	descubrirían
disfrutaremos	disfrutarían
dormiremos	dormirían
elaboraremos	elaborarían
estudiaremos	estudiarían
expresaremos	expresarían
gestionaremos	gestionarían
habilitaremos	habilitarían
incluiremos	incluirían
incorporaremos	incorporarían
intentaremos	intentarían
investigaremos	investigarían
lloraremos	llorarían
manejaremos	manejarían
mejoraremos	mejorarían
ofreceremos	ofrecerían
pasaremos	pasarían
podremos	podrían
preservaremos	preservarían
propondremos	propondrían
proporcionaremos	proporcionarían
recogeremos	recogerían
relacionaremos	relacionarían
requeriremos	requerirían
robaremos	robarían
seguiremos	seguirían
sentaremos	sentarían
serviremos	servirían
solicitaremos	solicitarían
sugeriremos	sugerirían
trabajaremos	trabajarían
venderemos	venderían
viajaremos	viajarían
visitaremos	visitarían
