abordaré	abordarás
adquiriré	adquirirás
ampliaré	ampliarás
anunciaré	anunciarás
averiguaré	averiguarás
añadiré	añadirás
cerraré	cerrarás
combatiré	combatirás
comprenderé	comprenderás
concluiré	concluirás
confiaré	confiarás
confirmaré	confirmarás
conoceré	conocerás
conservaré	conservarás
consolidaré	consolidarás
construiré	construirás
contaré	contarás
coordinaré	coordinarás
cortaré	cortarás
creceré	crecerás
creeré	creerás
describiré	describirás
disfrutaré	disfrutarás
eliminaré	eliminarás
entraré	entrarás
facilitaré	facilitarás
generaré	generarás
gestionaré	gestionarás
haré	harás
involucraré	involucrarás
limitaré	limitarás
limpiaré	limpiarás
lograré	lograrás
necesitaré	necesitarás
obtendré	obtendrás
ocurriré	ocurrirás
oiré	oirás
pediré	pedirás
preguntaré	preguntarás
prevendré	prevendrás
propondré	propondrás
protegeré	protegerás
publicaré	publicarás
quedaré	quedarás
recogeré	recogerás
reduciré	reducirás
superaré	superarás
tocaré	tocarás
volaré	volarás
volveré	volverás
