abordaré	abordarán
aceptaré	aceptarán
actuaré	actuarán
administraré	administrarán
adquiriré	adquirirán
alentaré	alentarán
animaré	animarán
apareceré	aparecerán
apoyaré	apoyarán
aseguraré	asegurarán
aumentaré	aumentarán
bailaré	bailarán
cantaré	cantarán
casaré	casarán
combatiré	combatirán
completaré	completarán
compraré	comprarán
consideraré	considerarán
contendré	contendrán
convertiré	convertirán
creeré	creerán
cubriré	cubrirán
diré	dirán
designaré	designarán
destruiré	destruirán
eliminaré	eliminarán
evadiré	evadirán
exploraré	explorarán
firmaré	firmarán
guardaré	guardarán
identificaré	identificarán
imaginaré	imaginarán
impediré	impedirán
instalaré	instalarán
leeré	leerán
lograré	lograrán
mediré	medirán
mencionaré	mencionarán
miraré	mirarán
ocurriré	ocurrirán
operaré	operarán
participaré	participarán
pediré	pedirán
promocionaré	promocionarán
recibiré	recibirán
requeriré	requerirán
revisaré	revisarán
serviré	servirán
tendré	tendrán
votaré	votarán
