abandonarán	abandonaríais
acordarán	acordaríais
adoptarán	adoptaríais
aplicarán	aplicaríais
asumirán	asumiríais
atenderán	atenderíais
beberán	beberíais
caerán	caeríais
caminarán	caminaríais
casarán	casaríais
comprarán	compraríais
confirmarán	confirmaríais
conservarán	conservaríais
considerarán	consideraríais
consistirán	consistiríais
consolidarán	consolidaríais
convertirán	convertiríais
cooperarán	cooperaríais
cubrirán	cubriríais
dirán	diríais
desarrollarán	desarrollaríais
describirán	describiríais
disfrutarán	disfrutaríais
elegirán	elegiríais
enviarán	enviaríais
examinarán	examinaríais
guardarán	guardaríais
indicarán	indicaríais
informarán	informaríais
intentarán	intentaríais
limpiarán	limpiaríais
llamarán	llamaríais
llegarán	llegaríais
llorarán	lloraríais
operarán	operaríais
pagarán	pagaríais
pararán	pararíais
pasarán	pasaríais
preguntarán	preguntaríais
prepararán	prepararíais
presentarán	presentaríais
regresarán	regresaríais
revisarán	revisaríais
romperán	romperíais
sentarán	sentaríais
servirán	serviríais
superarán	superaríais
tendrán	tendríais
tratarán	trataríais
usarán	usaríais
