abandonarán	abandonaría
abordarán	abordaría
accederán	accedería
administrarán	administraría
agradecerán	agradecería
analizarán	analizaría
asumirán	asumiría
comprenderán	comprendería
conducirán	conduciría
conocerán	conocería
conservarán	conservaría
consistirán	consistiría
consultarán	consultaría
controlarán	controlaría
convertirán	convertiría
cooperarán	cooperaría
coordinarán	coordinaría
cortarán	cortaría
creerán	creería
cumplirán	cumpliría
dejarán	dejaría
desempeñarán	desempeñaría
detendrán	detendría
ejecutarán	ejecutaría
ejercerán	ejercería
elaborarán	elaboraría
estarán	estaría
imaginarán	imaginaría
incrementarán	incrementaría
informarán	informaría
irán	iría
llegarán	llegaría
manejarán	manejaría
mejorarán	mejoraría
modificarán	modificaría
partirán	partiría
podrán	podría
prepararán	prepararía
preservarán	preservaría
probarán	probaría
promoverán	promovería
proporcionarán	proporcionaría
recogerán	recogería
recuperarán	recuperaría
reemplazarán	reemplazaría
referirán	referiría
romperán	rompería
tendrán	tendría
unirán	uniría
vivirán	viviría
