abandonaréis	abandonaría
aceleraréis	aceleraría
aseguraréis	aseguraría
asumiréis	asumiría
atenderéis	atendería
avanzaréis	avanzaría
beberéis	bebería
comprenderéis	comprendería
concluiréis	concluiría
conseguiréis	conseguiría
consolidaréis	consolidaría
consultaréis	consultaría
cooperaréis	cooperaría
cumpliréis	cumpliría
defenderéis	defendería
descargaréis	descargaría
descubriréis	descubriría
desempeñaréis	desempeñaría
destruiréis	destruiría
discutiréis	discutiría
ejecutaréis	ejecutaría
eliminaréis	eliminaría
entenderéis	entendería
financiaréis	financiaría
fomentaréis	fomentaría
guardaréis	guardaría
habréis	habría
incluiréis	incluiría
indicaréis	indicaría
llevaréis	llevaría
manejaréis	manejaría
mantendréis	mantendría
moriréis	moriría
necesitaréis	necesitaría
partiréis	partiría
perderéis	perdería
pondréis	pondría
preguntaréis	preguntaría
probaréis	probaría
proporcionaréis	proporcionaría
proveeréis	proveería
recordaréis	recordaría
reduciréis	reduciría
resolveréis	resolvería
seleccionaréis	seleccionaría
seréis	sería
terminaréis	terminaría
tocaréis	tocaría
verificaréis	verificaría
viviréis	viviría
