accederá	accederíamos
acelerará	aceleraríamos
administrará	administraríamos
adquirirá	adquiriríamos
aparecerá	apareceríamos
ayudará	ayudaríamos
compartirá	compartiríamos
conservará	conservaríamos
cubrirá	cubriríamos
descubrirá	descubriríamos
ejecutará	ejecutaríamos
enfrentará	enfrentaríamos
enviará	enviaríamos
estará	estaríamos
evitará	evitaríamos
existirá	existiríamos
explicará	explicaríamos
financiará	financiaríamos
formará	formaríamos
fortalecerá	fortaleceríamos
habrá	habríamos
hablará	hablaríamos
impedirá	impediríamos
incorporará	incorporaríamos
invertirá	invertiríamos
jugará	jugaríamos
leerá	leeríamos
llorará	lloraríamos
localizará	localizaríamos
mirará	miraríamos
participará	participaríamos
partirá	partiríamos
pedirá	pediríamos
pensará	pensaríamos
pondrá	pondríamos
presentará	presentaríamos
prestará	prestaríamos
producirá	produciríamos
proveerá	proveeríamos
publicará	publicaríamos
recibirá	recibiríamos
reducirá	reduciríamos
seguirá	seguiríamos
solicitará	solicitaríamos
sugerirá	sugeriríamos
sumará	sumaríamos
tratará	trataríamos
unirá	uniríamos
verificará	verificaríamos
volverá	volveríamos
