abandonará	abandonarían
acelerará	acelerarían
alcanzará	alcanzarían
aprenderá	aprenderían
asegurará	asegurarían
asistirá	asistirían
atraerá	atraerían
avanzará	avanzarían
caerá	caerían
cerrará	cerrarían
combatirá	combatirían
contará	contarían
contribuirá	contribuirían
controlará	controlarían
coordinará	coordinarían
dará	darían
dependerá	dependerían
desarrollará	desarrollarían
descargará	descargarían
destacará	destacarían
dirigirá	dirigirían
ejecutará	ejecutarían
elegirá	elegirían
encontrará	encontrarían
escuchará	escucharían
financiará	financiarían
garantizará	garantizarían
intentará	intentarían
introducirá	introducirían
observará	observarían
pondrá	pondrían
probará	probarían
propondrá	propondrían
protegerá	protegerían
proveerá	proveerían
quedará	quedarían
recibirá	recibirían
requerirá	requerirían
revisará	revisarían
sabrá	sabrían
seguirá	seguirían
servirá	servirían
señalará	señalarían
sobrevivirá	sobrevivirían
tendrá	tendrían
traerá	traerían
tratará	tratarían
unirá	unirían
volará	volarían
votará	votarían
