acordará	acordarían
alcanzará	alcanzarían
animará	animarían
aprenderá	aprenderían
atraerá	atraerían
averiguará	averiguarían
añadirá	añadirían
completará	completarían
conocerá	conocerían
conservará	conservarían
consolidará	consolidarían
cooperará	cooperarían
crecerá	crecerían
cuidará	cuidarían
decidirá	decidirían
definirá	definirían
dejará	dejarían
desempeñará	desempeñarían
disfrutará	disfrutarían
dormirá	dormirían
elegirá	elegirían
encontrará	encontrarían
enseñará	enseñarían
esperará	esperarían
examinará	examinarían
existirá	existirían
explorará	explorarían
expresará	expresarían
ganará	ganarían
indicará	indicarían
introducirá	introducirían
mantendrá	mantendrían
necesitará	necesitarían
ofrecerá	ofrecerían
pensará	pensarían
permanecerá	permanecerían
presentará	presentarían
prevendrá	prevendrían
producirá	producirían
propondrá	propondrían
reemplazará	reemplazarían
reforzará	reforzarían
revisará	revisarían
sentará	sentarían
trabajará	trabajarían
tratará	tratarían
venderá	venderían
vendrá	vendrían
viajará	viajarían
volverá	volverían
