abandonará	abandonaría
acordará	acordaría
asegurará	aseguraría
atraerá	atraería
averiguará	averiguaría
añadirá	añadiría
celebrará	celebraría
combatirá	combatiría
comenzará	comenzaría
compartirá	compartiría
comprenderá	comprendería
consistirá	consistiría
consolidará	consolidaría
continuará	continuaría
coordinará	coordinaría
creerá	creería
defenderá	defendería
demostrará	demostraría
destacará	destacaría
dirigirá	dirigiría
disfrutará	disfrutaría
enseñará	enseñaría
entrará	entraría
escapará	escaparía
examinará	examinaría
financiará	financiaría
fomentará	fomentaría
identificará	identificaría
impondrá	impondría
incorporará	incorporaría
incrementará	incrementaría
manejará	manejaría
modificará	modificaría
observará	observaría
permitirá	permitiría
preparará	prepararía
producirá	produciría
promoverá	promovería
realizará	realizaría
reemplazará	reemplazaría
responderá	respondería
sabrá	sabría
sacará	sacaría
seguirá	seguiría
sentará	sentaría
solicitará	solicitaría
tendrá	tendría
tomará	tomaría
trabajará	trabajaría
usará	usaría
