abandonando	abandono
acordando	acuerdo
ampliando	amplío
aplicando	aplico
atendiendo	atiendo
averiguando	averiguo
ayudando	ayudo
añadiendo	añado
combatiendo	combato
comiendo	como
completando	completo
comprobando	compruebo
concluyendo	concluyo
conduciendo	conduzco
consistiendo	consisto
convirtiendo	convierto
cooperando	coopero
creando	creo
dando	doy
dejando	dejo
describiendo	describo
desempeñando	desempeño
destacando	destaco
disfrutando	disfruto
escuchando	escucho
estando	estoy
funcionando	funciono
ganando	gano
generando	genero
guardando	guardo
habiendo	he
integrando	integro
intentando	intento
logrando	logro
luchando	lucho
manejando	manejo
oyendo	oigo
pareciendo	parezco
preguntando	pregunto
produciendo	produzco
proveyendo	proveo
publicando	publico
quedando	quedo
recordando	recuerdo
recuperando	recupero
regresando	regreso
representando	represento
sobreviviendo	sobrevivo
supervisando	superviso
viniendo	vengo
