abordar	abordábamos
ampliar	ampliábamos
animar	animábamos
aparecer	aparecíamos
aumentar	aumentábamos
caer	caíamos
cantar	cantábamos
concluir	concluíamos
conducir	conducíamos
confirmar	confirmábamos
consistir	consistíamos
continuar	continuábamos
cooperar	cooperábamos
cortar	cortábamos
crear	creábamos
cumplir	cumplíamos
desarrollar	desarrollábamos
destruir	destruíamos
ejercer	ejercíamos
empezar	empezábamos
enseñar	enseñábamos
esperar	esperábamos
evadir	evadíamos
evitar	evitábamos
explorar	explorábamos
funcionar	funcionábamos
garantizar	garantizábamos
investigar	investigábamos
llorar	llorábamos
localizar	localizábamos
mirar	mirábamos
ofrecer	ofrecíamos
parar	parábamos
participar	participábamos
perder	perdíamos
poder	podíamos
probar	probábamos
promocionar	promocionábamos
promover	promovíamos
proteger	protegíamos
quedar	quedábamos
reemplazar	reemplazábamos
referir	referíamos
respetar	respetábamos
ser	éramos
solicitar	solicitábamos
sugerir	sugeríamos
tocar	tocábamos
traer	traíamos
tratar	tratábamos
