abordar	abordaban
acceder	accedían
acordar	acordaban
actuar	actuaban
adoptar	adoptaban
ampliar	ampliaban
analizar	analizaban
anunciar	anunciaban
asegurar	aseguraban
bailar	bailaban
caminar	caminaban
comprar	compraban
comprender	comprendían
continuar	continuaban
coordinar	coordinaban
cortar	cortaban
decidir	decidían
decir	decían
definir	definían
demostrar	demostraban
disfrutar	disfrutaban
dormir	dormían
ejecutar	ejecutaban
escuchar	escuchaban
estudiar	estudiaban
explorar	exploraban
expresar	expresaban
generar	generaban
guardar	guardaban
haber	habían
habilitar	habilitaban
integrar	integraban
llevar	llevaban
matar	mataban
mostrar	mostraban
pasar	pasaban
permanecer	permanecían
permitir	permitían
reforzar	reforzaban
resolver	resolvían
responder	respondían
revisar	revisaban
sacar	sacaban
seguir	seguían
sentar	sentaban
sugerir	sugerían
supervisar	supervisaban
tratar	trataban
ver	veían
votar	votaban
