acelerado	acelerarían
aceptado	aceptarían
adoptado	adoptarían
anunciado	anunciarían
apoyado	apoyarían
aprovechado	aprovecharían
ayudado	ayudarían
bailado	bailarían
caído	caerían
comprendido	comprenderían
confiado	confiarían
conseguido	conseguirían
considerado	considerarían
consistido	consistirían
decidido	decidirían
dependido	dependerían
destacado	destacarían
destruido	destruirían
determinado	determinarían
disfrutado	disfrutarían
ejecutado	ejecutarían
ejercido	ejercerían
enfrentado	enfrentarían
estado	estarían
ganado	ganarían
identificado	identificarían
incorporado	incorporarían
iniciado	iniciarían
instalado	instalarían
limitado	limitarían
llevado	llevarían
modificado	modificarían
olvidado	olvidarían
operado	operarían
pagado,pago	pagarían
pedido	pedirían
producido	producirían
reducido	reducirían
relacionado	relacionarían
respetado	respetarían
respondido	responderían
robado	robarían
seleccionado	seleccionarían
sentado	sentarían
sido	serían
superado	superarían
supervisado	supervisarían
tenido	tendrían
unido	unirían
usado	usarían
